state	state_code	lat	lon	Y2013	V2013	P2013	Y2012	V2012	P2012	Y2011	V2011	P2011	Y2010	V2010	P2010	Y2009	V2009	P2009	Y2008	V2008	P2008	Y2007	V2007	P2007
Connecticut	CT	41.5834	-72.7622	2013	255	1974	2012	283	2140	2011	273	2167	2010	281	2193	2009	299	2336	2008	298	2459	2007	256	2400
Maine	ME	44.6074	-69.3977	2013	122	2292	2012	123	2510	2011	123	2546	2010	122	2479	2009	120	2404	2008	118	2452	2007	118	2429
Massachusetts	MA	42.2373	-71.5314	2013	404	2051	2012	406	2153	2011	428	2259	2010	467	2351	2009	457	2304	2008	449	2400	2007	432	2392
New Hampshire	NH	43.4108	-71.5653	2013	200	2194	2012	188	2324	2011	188	2284	2010	167	2186	2009	160	2161	2008	157	2092	2007	137	1892
Rhode Island	RI	41.6772	-71.5101	2013	245	2442	2012	252	2572	2011	248	2677	2010	257	2557	2009	253	2611	2008	249	2841	2007	227	2623
Vermont	VT	44.0407	-72.7093	2013	115	2214	2012	143	2399	2011	135	2309	2010	130	2282	2009	131	2401	2008	136	2539	2007	124	2323
New Jersey	NJ	40.314	-74.5089	2013	286	1883	2012	290	2047	2011	308	2151	2010	308	2082	2009	312	2080	2008	327	2293	2007	329	2213
New York	NY	42.1497	-74.9384	2013	390	1825	2012	407	1922	2011	398	1912	2010	392	1941	2009	385	1936	2008	398	1994	2007	414	1979
Pennsylvania	PA	40.5773	-77.264	2013	327	2061	2012	349	2166	2011	355	2222	2010	366	2173	2009	381	2202	2008	410	2410	2007	417	2361
Illinois	IL	40.3363	-89.0022	2013	373	2274	2012	415	2579	2011	429	2689	2010	435	2681	2009	497	2737	2008	525	2933	2007	533	2936
Indiana	IN	39.8647	-86.2604	2013	350	2854	2012	346	3029	2011	332	3162	2010	315	3042	2009	333	3116	2008	334	3336	2007	334	3397
Michigan	MI	43.3504	-84.5603	2013	430	2328	2012	455	2531	2011	445	2612	2010	490	2714	2009	497	2838	2008	502	2935	2007	536	3066
Ohio	OH	40.3736	-82.7755	2013	276	2928	2012	300	3117	2011	307	3355	2010	315	3245	2009	332	3271	2008	348	3412	2007	343	3455
Wisconsin	WI	44.2563	-89.6385	2013	271	2189	2012	281	2454	2011	237	2433	2010	249	2508	2009	257	2608	2008	274	2756	2007	291	2838
Iowa	IA	42.0046	-93.214	2013	261	2194	2012	264	2272	2011	256	2330	2010	274	2243	2009	279	2309	2008	284	2421	2007	295	2616
Kansas	KS	38.5111	-96.8005	2013	328	2947	2012	355	3143	2011	354	3080	2010	369	3120	2009	400	3208	2008	411	3377	2007	453	3679
Minnesota	MN	45.7326	-93.9196	2013	223	2420	2012	231	2568	2011	221	2549	2010	236	2572	2009	244	2641	2008	263	2851	2007	289	3037
Missouri	MO	38.4623	-92.302	2013	422	3137	2012	451	3314	2011	447	3309	2010	455	3346	2009	492	3385	2008	504	3664	2007	505	3738
Nebraska	NE	41.1289	-98.2883	2013	252	2623	2012	259	2755	2011	253	2753	2010	280	2673	2009	282	2762	2008	304	2879	2007	302	3161
North Dakota	ND	47.5362	-99.793	2013	256	2094	2012	245	2010	2011	247	1937	2010	225	1769	2009	201	1933	2008	167	1894	2007	142	1890
South Dakota	SD	44.2853	-99.4632	2013	299	1915	2012	322	2060	2011	254	1818	2010	269	1852	2009	186	1719	2008	201	1646	2007	169	1652
Delaware	DE	39.3498	-75.5148	2013	479	3066	2012	547	3341	2011	560	3411	2010	621	3448	2009	637	3350	2008	703	3585	2007	689	3370
District of Columbia	DE	39.3498	-75.5148	2013	1282	4808	2012	1244	4861	2011	1202	4796	2010	1330	4779	2009	1346	4745	2008	1438	5105	2007	1414	4914
Florida	FL	27.8333	-81.717	2013	460	3105	2012	487	3277	2011	515	3522	2010	542	3558	2009	613	3841	2008	689	4141	2007	723	4089
Georgia	GA	32.9866	-83.6487	2013	360	3347	2012	379	3411	2011	373	3627	2010	403	3641	2009	426	3667	2008	479	4016	2007	493	3901
Maryland	MD	39.0724	-76.7902	2013	468	2664	2012	477	2754	2011	494	2860	2010	548	2997	2009	590	3201	2008	628	3518	2007	642	3432
North Carolina	NC	35.6411	-79.8431	2013	337	3128	2012	353	3370	2011	350	3527	2010	363	3447	2009	404	3668	2008	467	4044	2007	466	4087
South Carolina	SC	33.8191	-80.9066	2013	495	3624	2012	559	3822	2011	572	3904	2010	598	3900	2009	671	3889	2008	730	4234	2007	788	4272
Virginia	VA	37.768	-78.2057	2013	188	2066	2012	190	2162	2011	197	2250	2010	214	2327	2009	227	2429	2008	256	2518	2007	270	2466
West Virginia	WV	38.468	-80.9696	2013	290	2104	2012	316	2365	2011	316	2274	2010	315	2240	2009	297	2527	2008	274	2569	2007	275	2525
Alabama	AL	32.799	-86.8073	2013	418	3351	2012	450	3502	2011	420	3606	2010	378	3517	2009	450	3772	2008	453	4083	2007	448	3972
Kentucky	KY	37.669	-84.6514	2013	199	2363	2012	223	2553	2011	238	2709	2010	243	2551	2009	259	2513	2008	296	2584	2007	295	2518
Mississippi	MS	32.7673	-89.6812	2013	267	2725	2012	261	2811	2011	270	3026	2010	270	2985	2009	281	2953	2008	285	2940	2007	291	3201
Tennessee	TN	35.7449	-86.7489	2013	580	3181	2012	644	3371	2011	608	3596	2010	613	3658	2009	668	3754	2008	722	4043	2007	753	4089
Arkansas	AR	34.9513	-92.3809	2013	446	3603	2012	469	3660	2011	481	3754	2010	505	3559	2009	518	3774	2008	503	3835	2007	529	3953
Louisiana	LA	31.1801	-91.8749	2013	510	3582	2012	497	3541	2011	555	3689	2010	549	3648	2009	620	3795	2008	656	3823	2007	730	4076
Oklahoma	OK	35.5376	-96.9247	2013	428	3274	2012	469	3401	2011	455	3356	2010	480	3416	2009	501	3574	2008	527	3442	2007	500	3526
Texas	TX	31.106	-97.6475	2013	400	3258	2012	409	3362	2011	409	3472	2010	450	3783	2009	491	4016	2008	508	3986	2007	511	4121
Arizona	AZ	33.7712	-111.3877	2013	406	3399	2012	429	3539	2011	406	3555	2010	408	3534	2009	408	3557	2008	447	4291	2007	483	4414
Colorado	CO	39.0646	-105.3272	2013	291	2659	2012	309	2685	2011	320	2606	2010	321	2684	2009	338	2666	2008	343	2849	2007	348	3006
Idaho	ID	44.2394	-114.5103	2013	205	1864	2012	208	1984	2011	201	2069	2010	221	1996	2009	228	1989	2008	229	2101	2007	239	2247
Montana	MT	46.9048	-110.3261	2013	241	2557	2012	272	2584	2011	268	2320	2010	272	2544	2009	254	2464	2008	258	2603	2007	288	2765
Nevada	NV	38.4199	-117.1219	2013	591	2838	2012	608	2809	2011	562	2561	2010	661	2775	2009	702	3056	2008	725	3448	2007	751	3778
New Mexico	NM	34.8375	-106.2371	2013	597	3705	2012	559	3601	2011	568	3532	2010	589	3435	2009	619	3736	2008	650	3909	2007	664	3726
Utah	UT	40.1135	-111.8535	2013	209	2950	2012	206	2992	2011	195	2973	2010	213	3180	2009	213	3275	2008	222	3357	2007	235	3500
Wyomin	WI	44.2563	-89.6385	2013	198	2198	2012	201	2294	2011	219	2266	2010	196	2462	2009	228	2637	2008	232	2717	2007	239	2866
Alaska	AK	61.385	-152.2683	2013	603	2885	2012	603	2739	2011	607	2633	2010	639	2853	2009	633	2946	2008	652	2932	2007	661	3380
California	CA	36.17	-119.7462	2013	396	2658	2012	423	2759	2011	411	2584	2010	441	2636	2009	472	2732	2008	504	2940	2007	523	3033
Hawaii	HI	21.1098	-157.5311	2013	245	3054	2012	239	3075	2011	287	3338	2010	263	3314	2009	275	3661	2008	273	3571	2007	273	4225
Oregon	OR	44.5672	-122.1269	2013	243	3174	2012	248	3224	2011	248	3115	2010	252	3013	2009	255	2967	2008	257	3282	2007	288	3526
Washington	WA	47.3917	-121.5708	2013	278	3710	2012	296	3659	2011	295	3575	2010	314	3707	2009	331	3667	2008	331	3758	2007	333	4031
